"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_term"
"in-433e87fb815480e4","indeed","https://it.indeed.com/viewjob?jk=433e87fb815480e4","https://jobs.smartrecruiters.com/JYSK/744000136027394-sales-assistant-30h-fiumicino-localita-le-vignole","Sales Assistant 30h - Fiumicino - Località Le Vignole","JYSK","Fiumicino, LAZ, IT","2026-07-06","parttime","","","","","",False,"","","","","**Descrizione dell'azienda**  

JYSK è un retailer internazionale di arredamento per la casa con radici scandinave che rende facile arredare ogni ambiente di qualsiasi casa e giardino.


Con oltre 3\.600 negozi e online shop in 49 paesi, JYSK propone sempre grandi offerte e un servizio competente a portata di mano, indipendentemente da come i clienti scelgono di fare acquisti.


Il fondatore Lars Larsen ha aperto il suo primo negozio in Danimarca nel 1979\. Oggi, JYSK impiega 34\.000 collaboratori.

 **Descrizione del lavoro**  

Ami la vendita? Vuoi fornire il miglior servizio clienti in Italia insieme al tuo team JYSK? T piacciono i lavori dinamici e un ambiente frenetico?


Allora potresti essere la persona che stiamo cercando come Sales Assistant!

**COSA OFFRIAMO**


Avrai la possibilità di entrare a far parte di un'azienda retail che vuole essere la prima scelta dei candidati quando cercano un nuovo lavoro. Siamo un’azienda dinamica: con noi i tuoi contributi contano, sarai sempre coinvolto e il tuo sviluppo sarà una priorità. Inoltre, in qualità di ambasciatore JYSK, avrai i seguenti vantaggi:

* Opportunità di sviluppo e responsabilità – abbiamo l’obiettivo di nominare l’80% dei nostri futuri manager internamente. Scopri di più qui
* Competizioni interne tra negozi con premi interessanti
* Attività sociali e un luogo di lavoro divertente
* Bonus competitivi che premiano grandi risultati di vendita
* Un orario di lavoro flessibile
* Sconto del 20% presso le aziende del Gruppo JYSK e Lars Larsen
* Inquadramento e RAL IV livello del CCNL Commercio e Servizi pari 25\.047,40 euro lordi annui (da riproporzionare in caso di part time).

**LE TUE RESPONSABILITÀ**

* Assicurare eccellenti vendite nel negozio: offrire ai nostri clienti un servizio eccellente sempre con il sorriso!
* Garantirai che il negozio sia in ordine al 100% e ben fornito con i nostri prodotti
* Aiuterai a ricevere, disimballare e riporre la merce, sia nel magazzino che nel piano vendita quindi non hai paura del lavoro fisico
* Avrai l’opportunità crescere come referente di una o più aree del negozio


Incontra uno/a dei nostri Sales Assistant e scopri di più su di noi qui.

**IL TUO VALORE AGGIUNTO**

* Sei comunicativo/a, prendi iniziative e sai dare ai nostri clienti la migliore esperienza di acquisto che possano immaginare
* Hai un entusiasmo contagioso e ti appassiona relazionarti con i clienti
* Sei un/a buon/a collega per la tua squadra – insieme fate il possibile per ottenere grandi risultati
* Ti piace il lavoro dinamico e sei flessibile: sia nelle attività che in termini di orari di lavoro.

  

**Informazioni aggiuntive**  

La nostra ambizione è essere la prima scelta dei lavoratori all'interno del retail, ovunque sia presente JYSK nel paese. Ciò significa che ci impegniamo sempre ad essere un luogo attrattivo in cui lavorare e che i nostri colleghi apprezzino il tempo che trascorrono al lavoro. Siamo anche orgogliosi di premiare l'impegno tra i nostri colleghi.


Pertanto, quando lavori in JYSK incontrerai molte opportunità di carriera sia a livello nazionale che internazionale e godrai di grandi vantaggi per i dipendenti.


Credi che JYSK faccia per te? Scopri di più su di noi come luogo di lavoro, **visita la nostra** **career page**.


""*L'offerta di lavoro si intende rivolta ad entrambi i sessi, nel rispetto delle disposizioni delle leggi D.lgs. 903/77 e D.lgs. 125/91*"".

*Scopri come trattiamo i tuoi dati nella sezione \[**Policy sulla Privacy**]*


Per aiutarci a gestire le candidature in modo equo ed efficace, utilizziamo un sistema che verifica e valuta quanto ogni candidatura sia adatta al ruolo. Il sistema analizza le tue risposte ad alcune domande di screening: le domande sono state create dal sistema e poi revisionate dal Talent Acquisition Team di JYSK. Ogni domanda e ogni risposta hanno un valore, e in base alle tue risposte il sistema ordina i candidati per darci un'idea di quanto il ruolo possa essere in linea con il tuo profilo. Questo ci permette di gestire tutte le candidature e garantire che ogni persona venga trattata in modo uguale. Il risultato del sistema indica se la tua candidatura passerà o meno alla fase successiva, ma non preoccuparti: la decisione finale è sempre presa da una persona. Se vuoi saperne di più su come trattiamo i tuoi dati personali e sui tuoi diritti, puoi consultare la nostra Privacy Policy.","","https://it.indeed.com/cmp/Jysk","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a1ece345739bdbb0889f8bbe72ad3519","https://www.jysk.com/","Brabrand","10,000+","Decline to state","When you grow, we grow. It’s that simple. At JYSK, we are committed to the ongoing development of our colleagues. We have locations in BC, Alberta, Saskatchewan, Manitoba, Ontario, and Quebec.","","","","","","","talent acquisition"
"in-d4c0baa32e13956f","indeed","https://it.indeed.com/viewjob?jk=d4c0baa32e13956f","https://jobs.smartrecruiters.com/JYSK/744000135979708-sales-assistant-24-h-pomezia","Sales Assistant 24 h - Pomezia","JYSK","Torvaianica, LAZ, IT","2026-07-06","parttime","","","","","",False,"","","","","**Descrizione dell'azienda**  

JYSK è un retailer internazionale di arredamento per la casa con radici scandinave che rende facile arredare ogni ambiente di qualsiasi casa e giardino.


Con oltre 3\.600 negozi e online shop in 49 paesi, JYSK propone sempre grandi offerte e un servizio competente a portata di mano, indipendentemente da come i clienti scelgono di fare acquisti.


Il fondatore Lars Larsen ha aperto il suo primo negozio in Danimarca nel 1979\. Oggi, JYSK impiega 34\.000 collaboratori.

 **Descrizione del lavoro**  

Ami la vendita? Vuoi fornire il miglior servizio clienti in Italia insieme al tuo team JYSK? T piacciono i lavori dinamici e un ambiente frenetico?


Allora potresti essere la persona che stiamo cercando come Sales Assistant!

**COSA OFFRIAMO**


Avrai la possibilità di entrare a far parte di un'azienda retail che vuole essere la prima scelta dei candidati quando cercano un nuovo lavoro. Siamo un’azienda dinamica: con noi i tuoi contributi contano, sarai sempre coinvolto e il tuo sviluppo sarà una priorità. Inoltre, in qualità di ambasciatore JYSK, avrai i seguenti vantaggi:

* Opportunità di sviluppo e responsabilità – abbiamo l’obiettivo di nominare l’80% dei nostri futuri manager internamente. Scopri di più qui
* Competizioni interne tra negozi con premi interessanti
* Attività sociali e un luogo di lavoro divertente
* Bonus competitivi che premiano grandi risultati di vendita
* Un orario di lavoro flessibile
* Sconto del 20% presso le aziende del Gruppo JYSK e Lars Larsen
* Inquadramento e RAL IV livello del CCNL Commercio e Servizi pari 25\.047,40 euro lordi annui (da riproporzionare in caso di part time).

**LE TUE RESPONSABILITÀ**

* Assicurare eccellenti vendite nel negozio: offrire ai nostri clienti un servizio eccellente sempre con il sorriso!
* Garantirai che il negozio sia in ordine al 100% e ben fornito con i nostri prodotti
* Aiuterai a ricevere, disimballare e riporre la merce, sia nel magazzino che nel piano vendita quindi non hai paura del lavoro fisico
* Avrai l’opportunità crescere come referente di una o più aree del negozio


Incontra uno/a dei nostri Sales Assistant e scopri di più su di noi qui.

**IL TUO VALORE AGGIUNTO**

* Sei comunicativo/a, prendi iniziative e sai dare ai nostri clienti la migliore esperienza di acquisto che possano immaginare
* Hai un entusiasmo contagioso e ti appassiona relazionarti con i clienti
* Sei un/a buon/a collega per la tua squadra – insieme fate il possibile per ottenere grandi risultati
* Ti piace il lavoro dinamico e sei flessibile: sia nelle attività che in termini di orari di lavoro.

  

**Informazioni aggiuntive**  

La nostra ambizione è essere la prima scelta dei lavoratori all'interno del retail, ovunque sia presente JYSK nel paese. Ciò significa che ci impegniamo sempre ad essere un luogo attrattivo in cui lavorare e che i nostri colleghi apprezzino il tempo che trascorrono al lavoro. Siamo anche orgogliosi di premiare l'impegno tra i nostri colleghi.


Pertanto, quando lavori in JYSK incontrerai molte opportunità di carriera sia a livello nazionale che internazionale e godrai di grandi vantaggi per i dipendenti.


Credi che JYSK faccia per te? Scopri di più su di noi come luogo di lavoro, **visita la nostra** **career page**.


""*L'offerta di lavoro si intende rivolta ad entrambi i sessi, nel rispetto delle disposizioni delle leggi D.lgs. 903/77 e D.lgs. 125/91*"".

*Scopri come trattiamo i tuoi dati nella sezione \[**Policy sulla Privacy**]*


Per aiutarci a gestire le candidature in modo equo ed efficace, utilizziamo un sistema che verifica e valuta quanto ogni candidatura sia adatta al ruolo. Il sistema analizza le tue risposte ad alcune domande di screening: le domande sono state create dal sistema e poi revisionate dal Talent Acquisition Team di JYSK. Ogni domanda e ogni risposta hanno un valore, e in base alle tue risposte il sistema ordina i candidati per darci un'idea di quanto il ruolo possa essere in linea con il tuo profilo. Questo ci permette di gestire tutte le candidature e garantire che ogni persona venga trattata in modo uguale. Il risultato del sistema indica se la tua candidatura passerà o meno alla fase successiva, ma non preoccuparti: la decisione finale è sempre presa da una persona. Se vuoi saperne di più su come trattiamo i tuoi dati personali e sui tuoi diritti, puoi consultare la nostra Privacy Policy.","","https://it.indeed.com/cmp/Jysk","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a1ece345739bdbb0889f8bbe72ad3519","https://www.jysk.com/","Brabrand","10,000+","Decline to state","When you grow, we grow. It’s that simple. At JYSK, we are committed to the ongoing development of our colleagues. We have locations in BC, Alberta, Saskatchewan, Manitoba, Ontario, and Quebec.","","","","","","","talent acquisition"
"in-94fcc2771bcbc4de","indeed","https://it.indeed.com/viewjob?jk=94fcc2771bcbc4de","https://harri.com/Zuma-Rome-2/job/2759226-bartender?utm_source=indeed&utm_medium=listing&utm_content=foh-roma-zuma-rome-english-july72026&utm_campaign=indeed-foh","Bartender - Capri","Zuma","Roma, LAZ, IT","2026-07-02","parttime","","","","","",False,"","","","","As a **Bartender** at Zuma, you’ll create unforgettable vibes by crafting exceptional drinks, ensuring seamless service, and delivering a consistent experience that keeps guests returning for more. Bring the energy of Zuma to life!


Zuma is a contemporary Japanese restaurant collection, inspired by the dynamic Izakaya dining style. **This role will be based in Zuma Capri**. Perched on the rooftop of the Capri Palace Jumeirah, with breath\-taking views, Zuma Capri is perfect setting for the Zuma experience – the true spirit of La Dolce Vita. Zuma Capri is proud to be part of the Azumi Collection.


**Main Duties**  

Your key responsibilities will include:

* Build strong relationships with guests, offering tailored drink recommendations
* Prepare and serve drinks according to brand standards, ensuring consistency
* Maintain cleanliness and organization at the bar counter and surrounding areas
* Maximize sales through up\-selling and responding to guest needs promptly
* Stay updated on menu items and assist with the training of new bar team members
* Adhere to safety, hygiene, and health protocols to ensure a safe bar environment

 **What We Look For**  

Our ideal candidate embodies our values and brings:

* A genuine love for culinary experiences \& a passion for Japanese cuisine
* Proven experience as a bartender in a luxury high\-volume restaurant
* A natural team player who is at home working in sync with a large team
* Naturally friendly, customer\-oriented, and skilled at creating memorable dining experiences

 **Benefits**

  

As part of our team, you’ll enjoy:

* **Accommodation** is provided during the season \& our team is always there to support with any accommodation queries
* **World\-Class training,** designed to inspire and educate
* **Global opportunities**, experience hospitality around the globe with our five incredible brands
* **Family Meals** are shared daily
* **Rewards \& Recognition,** we value our team and celebrate your contributions to our success with meaningful rewards and recognition
* **Dining discount,** enjoy exclusive discounts across the Azumi group, worldwide!

 **Our Commitment to Inclusivity**  

We are an equal opportunities employer and welcome all applicants. If you require any assistance to make the recruitment process more accessible, please let one of our Talent Acquisition team know.  

  

The annual gross salary for this position is €23\.958

  


INDFOH","Food And Beverages","https://it.indeed.com/cmp/Zuma-8","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/438c5be405a58dcf14b478512cbd84ea","https://www.zumarestaurant.com/","5 Raphael St, Knightsbridge, London SW7 1DL","1,001 to 5,000","","","","","","","","","talent acquisition"
"in-c41b75351e7552c9","indeed","https://it.indeed.com/viewjob?jk=c41b75351e7552c9","https://harri.com/Zuma-Rome-2/job/2757689-barback?utm_source=indeed&utm_medium=listing&utm_content=foh-roma-zuma-rome-english-july72026&utm_campaign=indeed-foh","Barback - Porto Cervo","Zuma","Roma, LAZ, IT","2026-07-01","fulltime","","","","","",False,"","","","","As a Barback at Zuma, your energy and teamwork ensure everything behind the scenes runs smoothly. From restocking essentials to supporting the team, your consistent effort keeps the vibes high and the service seamless.  


Zuma is a contemporary Japanese restaurant collection, inspired by the dynamic Izakaya dining style. This role will be based in Zuma Porto Cervo. Set against the stunning green\-blue coastline of Sardinia, our exceptional restaurant captures the essence of a truly iconic seasonal experience within one of the Mediterranean's most prestigious destinations. Zuma Porto Cervo is proud to be part of the Azumi Collection.  


Main Duties  
Your key responsibilities will include:  


Help with stock deliveries and move supplies between areas as needed  
Keep the bar stocked with liquor, beer, and all the essentials to keep things running smoothly  
Make sure the bar stays clean, tidy, and up to health and safety standards  
Refill ice bins and keep clean glassware flowing, especially during busy times  
Pitch in with pouring drinks and stay one step ahead of the bar team's needs  
Share guest feedback or flag any issues with the bar or duty manager right away  


What We Look For  
Our ideal candidate embodies our values and brings:  


A genuine love for culinary experiences \& a passion for Japanese cuisine  
Proven experience as a barback in a luxury high\-volume restaurant  
A natural team player who is at home working in sync with a large team  
Naturally friendly, customer\-oriented, and skilled at creating memorable dining experiences  


Benefits  


As part of our team, you’ll enjoy:  


Accommodation is provided during the season \& our team is always there to support with any accommodation queries  
World\-Class training, designed to inspire and educate  
Global opportunities, experience hospitality around the globe with our five incredible brands  
Family Meals are shared daily  
Rewards \& Recognition, we value our team and celebrate your contributions to our success with meaningful rewards and recognition  
Dining discount, enjoy exclusive discounts across the Azumi group, worldwide!  


Our Commitment to Inclusivity  


We are an equal opportunities employer and welcome all applicants. If you require any assistance to make the recruitment process more accessible, please let one of our Talent Acquisition team know.  


The annual gross salary for this position is €21\.111  


INDFOH","Food And Beverages","https://it.indeed.com/cmp/Zuma-8","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/438c5be405a58dcf14b478512cbd84ea","https://www.zumarestaurant.com/","5 Raphael St, Knightsbridge, London SW7 1DL","1,001 to 5,000","","","","","","","","","talent acquisition"
"in-14216df5ce56ddd5","indeed","https://it.indeed.com/viewjob?jk=14216df5ce56ddd5","https://ayvens.wd3.myworkdayjobs.com/en-US/AyvensCareers/job/Rome/HR-Talent-Acquisition---Employer-Branding-Intern_JR_10040507","HR Talent Acquisition & Employer Branding Intern","Ayvens","Roma, LAZ, IT","2026-06-30","fulltime","","","","","",False,"","","","","**At Ayvens, progress starts with you.**

Our ambitions to shape the future of sustainable mobility are powered by our talent. Join us, and get better with every move.


Ayvens, Società del Gruppo Société Générale, è il nuovo brand globale della mobilità sostenibile, nato dall’unione di ALD Automotive e LeasePlan. L’azienda è uno dei leader globali nei servizi di noleggio a lungo termine e gestione flotte ed offre servizi di noleggio e soluzioni di mobilità integrata a clienti di ogni dimensione, dalle grandi alle piccole e medie aziende, dai professionisti ai privati e alla PA, verso una mobilità a zero emissioni attraverso innovazione e servizi tecnologici d’avanguardia. In Ayvens le Persone fanno la differenza, in un viaggio in cui siamo guidate/i da 4 principi fondamentali che caratterizzano la nostra Cultura: Collaboration, Commitment, Curiosity, Authenticity. Siamo alla ricerca di nuove risorse desiderose di inserirsi in un contesto multinazionale, strutturato, dinamico e inclusivo. Se sei appassionato/a del settore Automotive e desideri intraprendere un'esperienza di Stage dall'alto valore formativo, Ayvens sta cercando proprio te!


Scopo della posizione:


Tramite la definizione di un progetto formativo dedicato, la risorsa sarà coinvolta nelle attività del team HR Talent, supportando i processi di talent acquisition ed employer branding attraverso l’implementazione di metodologie e attività funzionali all’identificazione delle risorse interne e/o esterne idonee a soddisfare le “vacancies” aziendali. La risorsa sarà inoltre attivamente coinvolta sulle attività di Employer Branding occupandosi dei progetti volti a promuovere l’Azienda.


Principali attività:


* Affiancare le risorse più senior nelle attività di ricerca e selezione attraverso gli strumenti e le metodologie più idonee (es. pubblicazione annunci, screening CV, contatto telefonico con i candidati, colloqui in presenza/a distanza, prove di selezione ad hoc, ecc.), supportando il processo di valutazione delle skill comportamentali, delle attitudini e del potenziale dei candidati/delle candidate per le posizioni vacanti.
* Predisporre, in caso di ingresso in stage, la documentazione a supporto, in accordo con Università/eventuali altri Enti Promotori.
* Supportare le attività di monitoraggio e reporting delle selezioni interne e/o esterne.
* Fornire supporto nell’attivazione e nell’implementazione di iniziative di Employer Branding (es. organizzazione career days, company visits, digital talent fairs…).
* Contribuire a progetti dedicati all’engagement delle generazioni e alla valorizzazione del nostro Employer Branding

Competenze/conoscenze soft e tecnico\-specialistiche:


* Laurea preferibilmente in discipline umanistiche o economiche
* Ottima conoscenza della lingua inglese (scritta e parlata)
* Ottima conoscenza del Pacchetto Office (in particolare degli applicativi Excel e Power Point)
* Ottime capacità relazionali, flessibilità e dinamismo
* Buone capacità organizzative, di analisi e reporting dei dati

**Why Ayvens?**

With over 3\.4 million vehicles managed across more than 42 countries, we provide full\-service leasing, flexible subscription services, fleet management services and multi\-mobility solutions to customers of all sizes, including large corporates, SMEs, professionals, and private individuals. By leveraging our unique position to lead the way to net zero and further shape the digital transformation of the industry, we are well\-positioned to meet the evolving mobility needs of our clients and provide them with the solutions they need to thrive.


At Ayvens, we believe that our success is driven by our commitment to customer satisfaction. Our team is dedicated to delivering innovative solutions and technology\-enabled services that help our customers focus on their everyday business. We’re committed to sustainable mobility and have made it a core part of our strategy. In everything we do, we’re guided by the principles of authenticity, curiosity, commitment and collaboration. We aim to foster an organisation that's diverse in people and ideas, where everyone can thrive and be themselves, no matter who they are.


Join us on this exciting journey as we continue to enable the transformation towards large scale adoption of sustainable mobility and provide our customers with the solutions they need to succeed. Follow our page for the latest updates, news, and insights.","","https://it.indeed.com/cmp/Ayvens-1","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6c7bb889c46771e06520a515bd5a00c1","https://www.ayvens.com/en-cp/","Clubhouse | Joan Muyskenweg 30 | 1114 AN Amsterdam  ","10,000+","$5B to $10B (USD)","Born from the acquisition of LeasePlan by ALD Automotive, part of the Societe Generale group, Ayvens is a leading global sustainable mobility player committed to making life and business flow better.","","","","","","","talent acquisition"
"in-5d5aafbe2ce5052c","indeed","https://it.indeed.com/viewjob?jk=5d5aafbe2ce5052c","https://harri.com/Zuma-Rome-2/job/2756697-commis-waiter-waitress-1?utm_source=indeed&utm_medium=listing&utm_content=foh-roma-zuma-rome-english-july72026&utm_campaign=indeed-foh","Commis Waiter/Waitress - Porto Cervo","Zuma","Roma, LAZ, IT","2026-06-30","parttime","","","","","",False,"","","","","As a Commis Waiter (Runner) at Zuma, you’ll support the pass and service team, ensuring every dish is delivered with professionalism and every guest feels cared for. Be a key player in delivering Zuma's exceptional dining experience!  


Zuma is a contemporary Japanese restaurant collection, inspired by the dynamic Izakaya dining style. This role will be based in Zuma Porto Cervo. Set against the stunning green\-blue coastline of Sardinia, our exceptional restaurant captures the essence of a truly iconic seasonal experience within one of the Mediterranean's most prestigious destinations. Zuma Porto Cervo is proud to be part of the Azumi Collection.  


Main Duties  
Your key responsibilities will include:  


Provide friendly, efficient service, making every guest feel welcome and valued  
Deliver dishes to tables accurately and keep the pass area clean and organized  
Help set up the restaurant for service and follow cleaning routines to maintain high standards  
Participate in training to enhance menu knowledge and develop professional skills  
Share guest feedback and report any issues to managers to ensure smooth operations  
Assist with opening and closing duties, following company procedures to keep things running seamlessly  


What We Look For  
Our ideal candidate embodies our values and brings:  


A genuine love for culinary experiences \& a passion for Japanese cuisine  
Proven experience as a commis waiter/waitress in a luxury high\-volume restaurant  
A natural team player who is at home working in sync with a large team  
Naturally friendly, customer\-oriented, and skilled at creating memorable dining experiences  


Benefits  
We offer incredible career growth, international opportunities, and the chance to contribute to a world\-renowned brand, where every detail from the finest ingredients to our unrivalled atmosphere is crafted to perfection.  


As part of our team, you’ll enjoy:  


Accommodation is provided during the season \& our team is always there to support with any accommodation queries  
World\-Class training, designed to inspire and educate  
Global opportunities, experience hospitality around the globe with our five incredible brands  
Family Meals are shared daily  
Rewards \& Recognition, we value our team and celebrate your contributions to our success with meaningful rewards and recognition  
Dining discount, enjoy exclusive discounts across the Azumi group, worldwide!  


Our Commitment to Inclusivity  
We are an equal opportunities employer and welcome all applicants. If you require any assistance to make the recruitment process more accessible, please let one of our Talent Acquisition team know.  


The annual gross salary for this position is €21\.111  


INDFOH","Food And Beverages","https://it.indeed.com/cmp/Zuma-8","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/438c5be405a58dcf14b478512cbd84ea","https://www.zumarestaurant.com/","5 Raphael St, Knightsbridge, London SW7 1DL","1,001 to 5,000","","","","","","","","","talent acquisition"
"li-4436477832","linkedin","https://www.linkedin.com/jobs/view/4436477832","","Talent Acquisition Manager","Pellicano Hotels","","2026-07-03","","","","","","",False,"","","","","","","https://it.linkedin.com/company/pellicano-hotels","","","","","","","","","","","","","talent acquisition"
"li-4433176277","linkedin","https://www.linkedin.com/jobs/view/4433176277","","Recruiting Day Roma","METRO Italia","Rome, Latium, Italy","2026-07-03","","","","","","",False,"","","","","","","https://it.linkedin.com/company/metro-italia","","","","","","","","","","","","","talent acquisition"
"li-4437710399","linkedin","https://www.linkedin.com/jobs/view/4437710399","","Talent Acquisition / Recruiter - AI Trainer - Freelance - 8-20 hrs/week - Remote","10x.Team","Rome, Latium, Italy","","","","","","","",True,"","","","","","","https://nl.linkedin.com/company/10xteam","","","","","","","","","","","","","talent acquisition"
"li-4433953663","linkedin","https://www.linkedin.com/jobs/view/4433953663","","| RECRUITING DAY - ORIENTA FROSINONE | 156677 |","Orienta Agenzia per il Lavoro","Frosinone, Latium, Italy","","","","","","","",False,"","","","","","","https://it.linkedin.com/company/orienta-agenzia-per-il-lavoro","","","","","","","","","","","","","talent acquisition"
